timestamp,open,high,low,close,volume,duplicate
1704067200000,42324.8,42610.9,42300.2,42517.4,3038.207,false
1704070800000,42517.4,42842.9,42475.1,42661.3,3308.231,false
1704074400000,42661.3,42691.9,42550.8,42631.8,1651.447,false
1704078000000,42631.8,42641.4,42271.5,42384.1,3499.277,false
1704081600000,42384.1,42448,42250.5,42446.3,1800.157,false
1704085200000,42446.3,42450,42211.2,42280.9,1749.233,false
1704088800000,42280.9,42467.8,42248.5,42431.7,1117.49,false
1704092400000,42431.7,42533,42431.6,42531.7,1373.99,false
1704096000000,42531.7,42599.6,42492.7,42596.1,1274.532,false
1704099600000,42596.1,42739.8,42574.1,42696.9,2249.746,false
1704103200000,42696.9,42796.1,42656.9,42731.4,2127.375,false
1704106800000,42731.4,42809.6,42645.6,42735.1,1903.864,false
1704110400000,42735.1,42820,42657.1,42690.6,2067.997,false
1704114000000,42690.6,42787.5,42651.1,42760.3,1117.358,false
1704117600000,42760.3,42760.3,42605.4,42651,1814.759,false
1704121200000,42651,42890,42617.6,42825.1,2622.198,false
1704124800000,42825.1,42909.1,42707.1,42774.3,1950.463,false
1704128400000,42774.3,42868,42750,42852.4,1114.03,false
1704132000000,42852.4,43279,42852.3,43153.8,7712.586,false
1704135600000,43153.8,43604,43140.7,43570.1,6668.097,false
1704139200000,43570.1,43909.5,43566.6,43753.4,9272.61,false
1704142800000,43753.4,43855.1,43528.5,43677.7,3978.033,false
1704146400000,43677.7,43726.4,43421.8,43579.6,3014.063,false
1704150000000,43579.6,44284.9,43579.5,44235.5,12697.696,false
1704153600000,44235.5,45376.1,44208.7,45187.9,24268.271,false
1704157200000,45187.9,45493.6,44744.5,44929.4,11581.241,false
1704160800000,44929.4,45440,44929.4,45430.1,6549.609,false
1704164400000,45430.1,45578.9,45131.1,45434.1,9517.238,false
1704168000000,45434.1,45485.2,45201.6,45219.9,4935.6,false
1704171600000,45219.9,45368.5,45160,45220,2833.337,false
