data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,label
43602.9,43658.6,43862.9,43793.8,43932.8,44168,43640.8,43786,43908.1,44000.4,43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,42799
43499.9,43516.1,43224.4,43611.3,43619.8,43612.3,43965.7,43957.7,43975.9,44156.8,44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,45973.3,45997.5,46025.7,45773.6,45340.8,45680.1,45544.4,45544,44678,45135.9,42689.5
44072.7,43977.8,43903.1,43934,43860.2,43710.8,43472.1,43671.1,43715.8,43669,43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,45973.3,45997.5,46025.7,45773.6,45340.8,45680.1,45544.4,45544,44678,45135.9,44904,45578.4,45329.2,46426,46562.1,46506.2,46137.2,45970.7,46920,46659.9,43086.1
43709,43683.6,43621.4,43715.2,43839.2,43872.1,43880.1,43974.4,44009.9,43914,43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,45973.3,45997.5,46025.7,45773.6,45340.8,45680.1,45544.4,45544,44678,45135.9,44904,45578.4,45329.2,46426,46562.1,46506.2,46137.2,45970.7,46920,46659.9,46682.1,46510.1,46571.4,46508.8,46416.6,46080.1,45901.9,46113.2,46286.4,46223.6,42849.8
43825.6,43893.5,43882,43972.4,44129.2,43970.8,43940.6,43944.7,44003.9,43899.5,44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,45973.3,45997.5,46025.7,45773.6,45340.8,45680.1,45544.4,45544,44678,45135.9,44904,45578.4,45329.2,46426,46562.1,46506.2,46137.2,45970.7,46920,46659.9,46682.1,46510.1,46571.4,46508.8,46416.6,46080.1,45901.9,46113.2,46286.4,46223.6,46880.1,47067.1,47459.2,47332.9,48578.2,46822.3,46040.2,46528.4,46629,46714.8,42739.8
44031.4,44092,44031.4,43945.7,43974,44076.9,44102.5,44426.7,44418.9,44061,43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,45973.3,45997.5,46025.7,45773.6,45340.8,45680.1,45544.4,45544,44678,45135.9,44904,45578.4,45329.2,46426,46562.1,46506.2,46137.2,45970.7,46920,46659.9,46682.1,46510.1,46571.4,46508.8,46416.6,46080.1,45901.9,46113.2,46286.4,46223.6,46880.1,47067.1,47459.2,47332.9,48578.2,46822.3,46040.2,46528.4,46629,46714.8,46241.8,46168.8,46422.6,46347.7,46306.4,46149.4,46163.9,45995.2,45963,46208.5,42803.9
43922.8,44070.9,44106.5,44249.9,44125,44243.9,43863.2,43936.2,43641.9,43716,43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,45973.3,45997.5,46025.7,45773.6,45340.8,45680.1,45544.4,45544,44678,45135.9,44904,45578.4,45329.2,46426,46562.1,46506.2,46137.2,45970.7,46920,46659.9,46682.1,46510.1,46571.4,46508.8,46416.6,46080.1,45901.9,46113.2,46286.4,46223.6,46880.1,47067.1,47459.2,47332.9,48578.2,46822.3,46040.2,46528.4,46629,46714.8,46241.8,46168.8,46422.6,46347.7,46306.4,46149.4,46163.9,45995.2,45963,46208.5,46121,46017.3,45868.1,45960.6,46077.9,45968.8,45887.7,45794.3,45483.1,44501.5,41967.6
43363,43527.7,43611.9,43654,43920.3,43979,43870,43731.6,44100,44653.9,45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,45973.3,45997.5,46025.7,45773.6,45340.8,45680.1,45544.4,45544,44678,45135.9,44904,45578.4,45329.2,46426,46562.1,46506.2,46137.2,45970.7,46920,46659.9,46682.1,46510.1,46571.4,46508.8,46416.6,46080.1,45901.9,46113.2,46286.4,46223.6,46880.1,47067.1,47459.2,47332.9,48578.2,46822.3,46040.2,46528.4,46629,46714.8,46241.8,46168.8,46422.6,46347.7,46306.4,46149.4,46163.9,45995.2,45963,46208.5,46121,46017.3,45868.1,45960.6,46077.9,45968.8,45887.7,45794.3,45483.1,44501.5,43662,43841.8,43517,43512.1,43689.1,43479.3,42521.8,42797.9,42813.8,42684,41116.6
45118,44925.9,44798.7,44975.3,44943.1,45648,46981.2,47005.9,46799.9,47082,47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,45973.3,45997.5,46025.7,45773.6,45340.8,45680.1,45544.4,45544,44678,45135.9,44904,45578.4,45329.2,46426,46562.1,46506.2,46137.2,45970.7,46920,46659.9,46682.1,46510.1,46571.4,46508.8,46416.6,46080.1,45901.9,46113.2,46286.4,46223.6,46880.1,47067.1,47459.2,47332.9,48578.2,46822.3,46040.2,46528.4,46629,46714.8,46241.8,46168.8,46422.6,46347.7,46306.4,46149.4,46163.9,45995.2,45963,46208.5,46121,46017.3,45868.1,45960.6,46077.9,45968.8,45887.7,45794.3,45483.1,44501.5,43662,43841.8,43517,43512.1,43689.1,43479.3,42521.8,42797.9,42813.8,42684,42557.9,42629.6,42855.3,43111.9,43162.9,43113.4,43183,42934,42714.8,42638.9,41349.4
47015.4,46972.8,46700,46589.2,46802,46949.2,46823.8,46741.4,46801.4,46855,46573.3,46519.5,46474.8,46643.9,46186.3,46851,46577.7,46875,46904,46725.9,46649.8,46882.1,46647.8,45455.6,46259.6,46128,45872.5,45949.9,45995.9,46129.1,45973.3,45997.5,46025.7,45773.6,45340.8,45680.1,45544.4,45544,44678,45135.9,44904,45578.4,45329.2,46426,46562.1,46506.2,46137.2,45970.7,46920,46659.9,46682.1,46510.1,46571.4,46508.8,46416.6,46080.1,45901.9,46113.2,46286.4,46223.6,46880.1,47067.1,47459.2,47332.9,48578.2,46822.3,46040.2,46528.4,46629,46714.8,46241.8,46168.8,46422.6,46347.7,46306.4,46149.4,46163.9,45995.2,45963,46208.5,46121,46017.3,45868.1,45960.6,46077.9,45968.8,45887.7,45794.3,45483.1,44501.5,43662,43841.8,43517,43512.1,43689.1,43479.3,42521.8,42797.9,42813.8,42684,42557.9,42629.6,42855.3,43111.9,43162.9,43113.4,43183,42934,42714.8,42638.9,42704.1,42749.9,42874.9,43169.3,42905,42910.6,42812.3,42795,42870,42970.2,41689.3
